v1,log_fc,ave_expr,t,p_value,adj_p_val,b,comparison,name,target,de
Q6ZN54,0.235095930325568,-1.37599337556155,1.59735758857556,0.159291764199637,0.996386806613002,-4.43624270685134,OnlyComparison,DEF8,ENSG00000140995,not sig
P78357,0.232767674170795,0.23579533455826,1.62722643719209,0.152799830534444,0.996386806613002,-4.40740683968646,OnlyComparison,CNTNAP1,ENSG00000108797,not sig
Q9UBF8,0.232605804145174,-1.73358062525942,1.84005549343976,0.113370878289081,0.996386806613002,-4.19890944858745,OnlyComparison,PI4KB,ENSG00000143393,not sig
O00258,0.226209993934292,-2.38134890635842,2.4618365100937,0.0473755421239088,0.996386806613002,-3.58789727092719,OnlyComparison,GET1,ENSG00000182093,upregulated
P02654,0.225750333967716,-1.05303349063923,1.37844728915113,0.215344947278226,0.996386806613002,-4.64234904568978,OnlyComparison,APOC1,ENSG00000130208,not sig
P61158,0.224722800093658,1.40040180192517,1.32798992857363,0.230588733043269,0.996386806613002,-4.68818731528157,OnlyComparison,ACTR3,ENSG00000115091,not sig
Q629K1,0.224642890665019,-1.44630254439079,2.91269447284279,0.0256335626151314,0.996386806613002,-3.17043202308695,OnlyComparison,TRIQK,ENSG00000205133,upregulated
Q13610,0.224157711101418,0.0346752575639094,1.30057197322027,0.239269083435342,0.996386806613002,-4.71277404622586,OnlyComparison,PWP1,ENSG00000136045,not sig
Q9Y3S2,0.223245227796184,-0.593986031341921,1.6556045894433,0.146865548294895,0.996386806613002,-4.37988979745301,OnlyComparison,ZNF330,ENSG00000109445,not sig
Q9H0P0,0.222556896859253,-0.448912113786743,1.51801312688325,0.177822968277852,0.996386806613002,-4.51211468996807,OnlyComparison,NT5C3A,ENSG00000122643,not sig
Q9UBP6,0.222321322718373,-0.911551521283585,1.54075588707108,0.172314565794219,0.996386806613002,-4.49048478937414,OnlyComparison,METTL1,ENSG00000037897,not sig
P62136,0.221386251036513,0.593766557202325,1.51316894784434,0.17901725697643,0.996386806613002,-4.51670866810032,OnlyComparison,PPP1CA,ENSG00000172531,not sig
Q9H920,0.221069591118079,-0.930058308993523,1.22915406343437,0.263242505338928,0.996386806613002,-4.77565184408344,OnlyComparison,RNF121,ENSG00000137522,not sig
Q8N4F7,0.221069591118079,-0.930058308993523,1.22915406343437,0.263242505338928,0.996386806613002,-4.77565184408344,OnlyComparison,RNF175,ENSG00000145428,not sig
Q9H8M5,0.220511399654775,-1.25922851174121,1.51403699938839,0.178802699382485,0.996386806613002,-4.51588579922475,OnlyComparison,CNNM2,ENSG00000148842,not sig
Q6P4Q7,0.220511399654775,-1.25922851174121,1.51403699938839,0.178802699382485,0.996386806613002,-4.51588579922475,OnlyComparison,CNNM4,ENSG00000158158,not sig
Q9NRU3,0.220511399654775,-1.25922851174121,1.51403699938839,0.178802699382485,0.996386806613002,-4.51588579922475,OnlyComparison,CNNM1,ENSG00000119946,not sig
Q14114,0.218898567021114,-2.01859042406869,1.25315514350384,0.25496217313574,0.996386806613002,-4.75471715612897,OnlyComparison,LRP8,ENSG00000157193,not sig
